Week,sustainable fashion: (United States),fast fashion: (United States)
11/8/2020,7,26
11/15/2020,7,29
11/22/2020,7,33
11/29/2020,5,35
12/6/2020,7,25
12/13/2020,5,21
12/20/2020,3,15
12/27/2020,4,23
1/3/2021,3,19
1/10/2021,5,23
1/17/2021,4,23
1/24/2021,6,24
1/31/2021,5,28
2/7/2021,5,24
2/14/2021,5,24
2/21/2021,6,26
2/28/2021,6,26
3/7/2021,5,27
3/14/2021,5,26
3/21/2021,5,27
3/28/2021,6,24
4/4/2021,6,28
4/11/2021,7,26
4/18/2021,8,34
4/25/2021,6,28
5/2/2021,5,27
5/9/2021,6,26
5/16/2021,5,22
5/23/2021,5,23
5/30/2021,6,22
6/6/2021,4,20
6/13/2021,5,21
6/20/2021,5,21
6/27/2021,5,26
7/4/2021,5,20
7/11/2021,5,24
7/18/2021,5,22
7/25/2021,5,22
8/1/2021,5,29
8/8/2021,6,34
8/15/2021,4,25
8/22/2021,4,23
8/29/2021,5,24
9/5/2021,6,25
9/12/2021,6,29
9/19/2021,7,28
9/26/2021,6,31
10/3/2021,7,30
10/10/2021,8,33
10/17/2021,6,30
10/24/2021,7,28
10/31/2021,7,29
11/7/2021,7,34
11/14/2021,8,38
11/21/2021,5,31
11/28/2021,8,33
12/5/2021,7,32
12/12/2021,5,29
12/19/2021,3,22
12/26/2021,4,23
1/2/2022,6,27
1/9/2022,6,30
1/16/2022,6,28
1/23/2022,8,34
1/30/2022,8,31
2/6/2022,7,37
2/13/2022,8,38
2/20/2022,7,36
2/27/2022,8,39
3/6/2022,8,38
3/13/2022,6,35
3/20/2022,7,38
3/27/2022,8,48
4/3/2022,9,58
4/10/2022,10,53
4/17/2022,12,67
4/24/2022,11,63
5/1/2022,10,47
5/8/2022,7,47
5/15/2022,8,41
5/22/2022,7,37
5/29/2022,6,38
6/5/2022,7,34
6/12/2022,7,30
6/19/2022,5,29
6/26/2022,6,25
7/3/2022,6,31
7/10/2022,6,31
7/17/2022,8,29
7/24/2022,7,26
7/31/2022,7,27
8/7/2022,6,24
8/14/2022,6,30
8/21/2022,6,27
8/28/2022,8,27
9/4/2022,7,30
9/11/2022,8,37
9/18/2022,8,36
9/25/2022,8,36
10/2/2022,9,37
10/9/2022,8,33
10/16/2022,9,43
10/23/2022,9,37
10/30/2022,9,40
11/6/2022,8,44
11/13/2022,9,46
11/20/2022,6,36
11/27/2022,10,49
12/4/2022,8,50
12/11/2022,7,37
12/18/2022,4,24
12/25/2022,5,24
1/1/2023,6,25
1/8/2023,6,31
1/15/2023,7,33
1/22/2023,8,37
1/29/2023,7,39
2/5/2023,8,43
2/12/2023,8,43
2/19/2023,9,40
2/26/2023,8,46
3/5/2023,9,41
3/12/2023,7,38
3/19/2023,8,46
3/26/2023,6,40
4/2/2023,9,41
4/9/2023,7,48
4/16/2023,11,50
4/23/2023,10,55
4/30/2023,9,49
5/7/2023,8,41
5/14/2023,7,42
5/21/2023,7,39
5/28/2023,6,37
6/4/2023,5,31
6/11/2023,5,28
6/18/2023,5,27
6/25/2023,5,32
7/2/2023,5,29
7/9/2023,5,31
7/16/2023,6,29
7/23/2023,6,34
7/30/2023,5,28
8/6/2023,6,26
8/13/2023,6,24
8/20/2023,4,23
8/27/2023,4,28
9/3/2023,6,34
9/10/2023,8,36
9/17/2023,8,37
9/24/2023,9,38
10/1/2023,8,36
10/8/2023,8,35
10/15/2023,8,59
10/22/2023,8,38
10/29/2023,8,38
11/5/2023,8,41
11/12/2023,7,44
11/19/2023,6,35
11/26/2023,10,52
12/3/2023,9,52
12/10/2023,7,40
12/17/2023,5,29
12/24/2023,4,23
12/31/2023,5,28
1/7/2024,5,31
1/14/2024,6,33
1/21/2024,7,39
1/28/2024,8,41
2/4/2024,8,38
2/11/2024,8,38
